data,diaDoAno,mes,dia,hora,vento,radiacao,demanda
01-Jan-2017,1,1,1,0,2.7,0,1931.58
01-Jan-2017,1,1,1,1,2.5,0,1871.1
01-Jan-2017,1,1,1,2,2.1,0,1823.22
01-Jan-2017,1,1,1,3,2.3,0,1748.88
01-Jan-2017,1,1,1,4,2.8,0,1693.44
01-Jan-2017,1,1,1,5,2,0,1562.4
01-Jan-2017,1,1,1,6,3.1,61.33333333,1474.2
01-Jan-2017,1,1,1,7,3.1,204.6666667,1475.46
01-Jan-2017,1,1,1,8,3.5,334.5833333,1501.92
01-Jan-2017,1,1,1,9,3.6,403.8611111,1534.68
01-Jan-2017,1,1,1,10,3.4,540.5277778,1567.44
01-Jan-2017,1,1,1,11,2.6,887.1944444,1640.52
01-Jan-2017,1,1,1,12,2.9,718.2777778,1680.84
01-Jan-2017,1,1,1,13,3.3,761.6111111,1668.24
01-Jan-2017,1,1,1,14,3.6,741.3333333,1643.04
01-Jan-2017,1,1,1,15,3.7,577.9444444,1663.2
01-Jan-2017,1,1,1,16,5.5,436.1666667,1714.86
01-Jan-2017,1,1,1,17,5.8,187.5833333,1748.88
01-Jan-2017,1,1,1,18,5.5,10.22222222,2140.74
01-Jan-2017,1,1,1,19,4.7,0,2187.36
01-Jan-2017,1,1,1,20,4.7,0,2154.6
01-Jan-2017,1,1,1,21,4.1,0,2131.92
01-Jan-2017,1,1,1,22,3.2,0,2056.32
01-Jan-2017,1,1,1,23,2.7,0,1929.06
