data,diaDoAno,mes,dia,hora,vento,radiacao,demanda
01-Jan-2017,1,1,1,0,2.7,0,1931.58
01-Jan-2017,1,1,1,1,2.5,0,1871.1
01-Jan-2017,1,1,1,2,2.1,0,1823.22
01-Jan-2017,1,1,1,3,2.3,0,1748.88
01-Jan-2017,1,1,1,4,2.8,0,1693.44
01-Jan-2017,1,1,1,5,2,0,1562.4
01-Jan-2017,1,1,1,6,3.1,61.33333333,1474.2
01-Jan-2017,1,1,1,7,3.1,204.6666667,1475.46
01-Jan-2017,1,1,1,8,3.5,334.5833333,1501.92
01-Jan-2017,1,1,1,9,3.6,403.8611111,1534.68
01-Jan-2017,1,1,1,10,3.4,540.5277778,1567.44
01-Jan-2017,1,1,1,11,2.6,887.1944444,1640.52
01-Jan-2017,1,1,1,12,2.9,718.2777778,1680.84
01-Jan-2017,1,1,1,13,3.3,761.6111111,1668.24
01-Jan-2017,1,1,1,14,3.6,741.3333333,1643.04
01-Jan-2017,1,1,1,15,3.7,577.9444444,1663.2
01-Jan-2017,1,1,1,16,5.5,436.1666667,1714.86
01-Jan-2017,1,1,1,17,5.8,187.5833333,1748.88
01-Jan-2017,1,1,1,18,5.5,10.22222222,2140.74
01-Jan-2017,1,1,1,19,4.7,0,2187.36
01-Jan-2017,1,1,1,20,4.7,0,2154.6
01-Jan-2017,1,1,1,21,4.1,0,2131.92
01-Jan-2017,1,1,1,22,3.2,0,2056.32
01-Jan-2017,1,1,1,23,2.7,0,1929.06
02-Jan-2017,2,1,2,0,3.7,0,1772.82
02-Jan-2017,2,1,2,1,2.3,0,1694.7
02-Jan-2017,2,1,2,2,1.7,0,1640.52
02-Jan-2017,2,1,2,3,2.1,0,1663.2
02-Jan-2017,2,1,2,4,2.1,0,1689.66
02-Jan-2017,2,1,2,5,2.2,0,1576.26
02-Jan-2017,2,1,2,6,1.6,68.38888889,1673.28
02-Jan-2017,2,1,2,7,1.9,255,2142
02-Jan-2017,2,1,2,8,2.2,284.4166667,3052.98
02-Jan-2017,2,1,2,9,3.2,490.9722222,3815.28
02-Jan-2017,2,1,2,10,3.7,726.4444444,4097.52
02-Jan-2017,2,1,2,11,2.9,773.25,4197.06
02-Jan-2017,2,1,2,12,3.3,740.4722222,4144.14
02-Jan-2017,2,1,2,13,3.7,828.75,4155.48
02-Jan-2017,2,1,2,14,4.6,677.1111111,4378.5
02-Jan-2017,2,1,2,15,3.8,566.8611111,4461.66
02-Jan-2017,2,1,2,16,4.9,423.0555556,4364.64
02-Jan-2017,2,1,2,17,5.1,181.5,3956.4
02-Jan-2017,2,1,2,18,5.3,16.97222222,3515.4
02-Jan-2017,2,1,2,19,4.4,0,2935.8
02-Jan-2017,2,1,2,20,5,0,2593.08
02-Jan-2017,2,1,2,21,4.1,0,2399.04
02-Jan-2017,2,1,2,22,4.2,0,2252.88
02-Jan-2017,2,1,2,23,3,0,2123.1
03-Jan-2017,3,1,3,0,3.4,0,1951.74
03-Jan-2017,3,1,3,1,3.5,0,1823.22
03-Jan-2017,3,1,3,2,3.1,0,1751.4
03-Jan-2017,3,1,3,3,3.7,0,1762.74
03-Jan-2017,3,1,3,4,3.7,0,1746.36
03-Jan-2017,3,1,3,5,2.9,0,1678.32
03-Jan-2017,3,1,3,6,2.8,31.02777778,1728.72
03-Jan-2017,3,1,3,7,2.7,146.3611111,2147.04
03-Jan-2017,3,1,3,8,4.1,448.2777778,3205.44
03-Jan-2017,3,1,3,9,3.4,582.1666667,4052.16
03-Jan-2017,3,1,3,10,3.1,682.3888889,4291.56
03-Jan-2017,3,1,3,11,3.1,711.9722222,4360.86
03-Jan-2017,3,1,3,12,4.1,734.1388889,4239.9
03-Jan-2017,3,1,3,13,3.8,842.6111111,4238.64
03-Jan-2017,3,1,3,14,4.1,786.25,4504.5
03-Jan-2017,3,1,3,15,4.7,528.8333333,4617.9
03-Jan-2017,3,1,3,16,4.4,268.4166667,4471.74
03-Jan-2017,3,1,3,17,4.9,137.4722222,4105.08
03-Jan-2017,3,1,3,18,4.8,12.66666667,3636.36
03-Jan-2017,3,1,3,19,4.9,0,3055.5
03-Jan-2017,3,1,3,20,4.1,0,2652.3
03-Jan-2017,3,1,3,21,4.8,0,2487.24
03-Jan-2017,3,1,3,22,3.4,0,2305.8
03-Jan-2017,3,1,3,23,3.3,0,2116.8
04-Jan-2017,4,1,4,0,3.6,0,1946.7
04-Jan-2017,4,1,4,1,3.5,0,1852.2
04-Jan-2017,4,1,4,2,3.4,0,1792.98
04-Jan-2017,4,1,4,3,3.1,0,1804.32
04-Jan-2017,4,1,4,4,2.9,0,1800.54
04-Jan-2017,4,1,4,5,3.9,0,1748.88
04-Jan-2017,4,1,4,6,3.2,16.88888889,1789.2
04-Jan-2017,4,1,4,7,3.7,205.6666667,2191.14
04-Jan-2017,4,1,4,8,4,339.1944444,3281.04
04-Jan-2017,4,1,4,9,4.5,453.1388889,4122.72
04-Jan-2017,4,1,4,10,3.7,595.75,4368.42
04-Jan-2017,4,1,4,11,4.6,682.6388889,4454.1
04-Jan-2017,4,1,4,12,5.2,984.6111111,4382.28
04-Jan-2017,4,1,4,13,4.5,763.4444444,4334.4
04-Jan-2017,4,1,4,14,5.9,654.8055556,4587.66
04-Jan-2017,4,1,4,15,4.4,569.0555556,4723.74
04-Jan-2017,4,1,4,16,5.7,428.8888889,4572.54
04-Jan-2017,4,1,4,17,5.3,183.8888889,4227.3
04-Jan-2017,4,1,4,18,6.1,5.444444444,3654
04-Jan-2017,4,1,4,19,5.5,0,2981.16
04-Jan-2017,4,1,4,20,4.1,0,2667.42
04-Jan-2017,4,1,4,21,4.8,0,2507.4
04-Jan-2017,4,1,4,22,3.7,0,2372.58
04-Jan-2017,4,1,4,23,5.1,0,2196.18
05-Jan-2017,5,1,5,0,4.6,0,2047.5
05-Jan-2017,5,1,5,1,3.9,0,1918.98
05-Jan-2017,5,1,5,2,3.2,0,1858.5
05-Jan-2017,5,1,5,3,2.6,0,1862.28
05-Jan-2017,5,1,5,4,2.5,0,1814.4
05-Jan-2017,5,1,5,5,1.8,0,1737.54
05-Jan-2017,5,1,5,6,2.5,41.86111111,1785.42
05-Jan-2017,5,1,5,7,3,201.25,2189.88
05-Jan-2017,5,1,5,8,3.6,400.3333333,3243.24
05-Jan-2017,5,1,5,9,4.1,410.1944444,4074.84
